2022-11-13 15:28:17
Namespace(batch_size=100, max_img_per_cls=500, nDataLoaderThread=5, test_interval=5, max_epoch=100, trainfunc='amsoftmax', optimizer='adam', scheduler='steplr', lr=0.001, lr_decay=0.9, weight_decay=0, margin=0.5, scale=5.0, nPerClass=1, nClasses=1230, initial_model='', save_path='exps/18_AM_scale5_magin05_filp_crop08_jitter05', train_path='data/train', train_ext='jpg', test_path='data/val', test_list='data/val_pairs.csv', model='ResNet18', nOut=512, eval=False, output='', mixedprec=False, gpu=0)
IT 1, TLOSS 9.14435
IT 2, TLOSS 8.11674
IT 3, TLOSS 7.68098
IT 4, TLOSS 7.39922
IT 5, Val EER 16.82899
IT 5, TLOSS 7.18943
IT 6, TLOSS 7.00568
IT 7, TLOSS 6.87293
IT 8, TLOSS 6.75641
IT 9, TLOSS 6.65994
IT 10, Val EER 12.24445
IT 10, TLOSS 6.57653
IT 11, TLOSS 6.49047
IT 12, TLOSS 6.42594
IT 13, TLOSS 6.36357
IT 14, TLOSS 6.30993
IT 15, Val EER 12.38582
IT 15, TLOSS 6.25711
IT 16, TLOSS 6.19091
IT 17, TLOSS 6.14323
IT 18, TLOSS 6.09616
IT 19, TLOSS 6.05293
IT 20, Val EER 10.72364
IT 20, TLOSS 6.00794
IT 21, TLOSS 5.95456
IT 22, TLOSS 5.90810
IT 23, TLOSS 5.87606
IT 24, TLOSS 5.83437
IT 25, Val EER 11.47764
IT 25, TLOSS 5.80039
IT 26, TLOSS 5.74866
IT 27, TLOSS 5.71574
IT 28, TLOSS 5.68370
IT 29, TLOSS 5.65297
IT 30, Val EER 12.33637
IT 30, TLOSS 5.62536
IT 31, TLOSS 5.58359
IT 32, TLOSS 5.55401
IT 33, TLOSS 5.53224
IT 34, TLOSS 5.50426
IT 35, Val EER 12.21070
IT 35, TLOSS 5.48120
IT 36, TLOSS 5.44746
IT 37, TLOSS 5.42379
IT 38, TLOSS 5.40298
IT 39, TLOSS 5.38636
IT 40, Val EER 13.29982
IT 40, TLOSS 5.36543
IT 41, TLOSS 5.33641
IT 42, TLOSS 5.31710
IT 43, TLOSS 5.30059
IT 44, TLOSS 5.28604
IT 45, Val EER 15.02827
IT 45, TLOSS 5.26653
IT 46, TLOSS 5.24353
IT 47, TLOSS 5.22829
IT 48, TLOSS 5.21332
IT 49, TLOSS 5.20023
IT 50, Val EER 15.57199
IT 50, TLOSS 5.18530
IT 51, TLOSS 5.16818
IT 52, TLOSS 5.15525
IT 53, TLOSS 5.14275
IT 54, TLOSS 5.13192
IT 55, Val EER 16.53576
IT 55, TLOSS 5.12011
IT 56, TLOSS 5.10421
IT 57, TLOSS 5.09284
IT 58, TLOSS 5.08248
IT 59, TLOSS 5.07542
IT 60, Val EER 17.50969
IT 60, TLOSS 5.06692
IT 61, TLOSS 5.05167
IT 62, TLOSS 5.04243
IT 63, TLOSS 5.03559
IT 64, TLOSS 5.02586
IT 65, Val EER 19.11701
IT 65, TLOSS 5.02004
IT 66, TLOSS 5.00899
IT 67, TLOSS 5.00124
IT 68, TLOSS 4.99420
IT 69, TLOSS 4.98918
IT 70, Val EER 20.61996
IT 70, TLOSS 4.98030
IT 71, TLOSS 4.97145
IT 72, TLOSS 4.96643
IT 73, TLOSS 4.96006
IT 74, TLOSS 4.95464
IT 75, Val EER 21.03088
IT 75, TLOSS 4.94892
IT 76, TLOSS 4.94048
IT 77, TLOSS 4.93740
IT 78, TLOSS 4.93166
IT 79, TLOSS 4.92936
IT 80, Val EER 21.44727
IT 80, TLOSS 4.92214
IT 81, TLOSS 4.91406
IT 82, TLOSS 4.91049
IT 83, TLOSS 4.90610
IT 84, TLOSS 4.90190
IT 85, Val EER 22.98826
IT 85, TLOSS 4.89844
IT 86, TLOSS 4.89271
IT 87, TLOSS 4.88919
IT 88, TLOSS 4.88512
IT 89, TLOSS 4.88271
IT 90, Val EER 23.02088
IT 90, TLOSS 4.87920
IT 91, TLOSS 4.87345
IT 92, TLOSS 4.87021
IT 93, TLOSS 4.86751
IT 94, TLOSS 4.86563
